 	EN	CN	DE	FR	ES	JP	KO	TC
^new_danmu36	What a waste of time...	真耽误时间……						真耽誤時間……
^new_danmu37	Come on, it's so boring, I'm losing my patience.	快点，我的耐心要没了						快點，我的耐心要沒了
^new_danmu38	So you're a comedian, right?	果然你才是那个跳梁小丑吧？						果然你才是那個跳梁小醜吧？
^new_danmu39	I'm so disappointed in ORZ!	对ORZ太失望了						對ORZ太失望了
^new_danmu40	If you don't believe in God, your life is over.	不信奉神，你的人生已经完了						不信奉神，你的人生已經完了
^new_danmu41	Are you teasing your audience?	你是不是在戏弄你的观众？						你是不是在戲弄你的觀眾？
^new_danmu42	Not embarrassed enough?	还嫌不够丢人吗？						還嫌不夠丟人嗎？
^new_danmu43	I'll always side with Van!	永远支持Van！						永遠支持Van！
^new_danmu44	Anyone who doesn't believe in God will be punished by God!	不相信神的人都会得到神罚！						不相信神的人都會得到神罰！
^new_danmu45	You're screwed!	你完蛋了！						你完蛋了！
^new_danmu46	Hahaha... the host is such an idiot	哇哈哈哈主播像个傻子一样						哇哈哈哈主播像個傻子一樣
^new_danmu47	Gee, ORZ can really bluff!	啧啧，ORZ可真能吹						嘖嘖，ORZ可真能吹
^new_danmu48	Got a lot of egg on your face! Does it sting?	怎么样，脸疼吗？						怎麼樣，臉疼嗎？
^new_danmu49	Trashy host!!!	垃圾主播！！！！						垃圾主播！！！！
^new_danmu50	I'm cancelling you!!!	脱粉脱粉脱粉脱粉！！！						脫粉脫粉脫粉脫粉！！！
^new_danmu51	Get ready for God's punishment, ORZ!	接受神罚吧ORZ ！！！						接受神罰吧ORZ ！！！
^new_danmu52	Your hosting career is over!	你的主播职业到此为止了！						你的主播職業到此為止了！
^new_danmu53	You're definitely screwed	你完蛋了						你完蛋了
^new_danmu54	Fan no longer, I'm an anti-fan starting now	粉转黑！						粉轉黑！
^new_danmu55	You are such a failure!	你真的太失败了						你真的太失敗了
^new_danmu56	This is so you ORZ!!!	不愧是你ORZ！！！！！						不愧是你ORZ！！！！！
^new_danmu57	Screw the Immortal Code, I only believe in ORZ!	去他妈的永生代码，我只相信ORZ！						去他媽的永生代碼，我只相信ORZ！
^new_danmu58	Wow wow wow ORZ is the No.1 in the world!!!	哇哇哇ORZ世界第一！！						哇哇哇ORZ世界第一！！
^new_danmu59	ORZ is awesome!	ORZ太牛啦！						ORZ太牛啦！
^new_danmu60	ORZ, I want to have your babies!	我要给ORZ生猴子！！！！！！						我要給ORZ生猴子！！！！！！
^new_danmu61	ORZ is my God!	ORZ就是我心目中的神！						ORZ就是我心目中的神！
^new_danmu62	Go tiger!!!	牛！！！！！						牛！！！！！
^new_danmu63	So exciting!!!	好刺激！！						好刺激！！
^new_danmu64	ORZ not bad	ORZ可以啊						ORZ可以啊
^new_danmu65	Pray ORZ won't screw up...	祈祷ORZ千万别翻车……						祈禱ORZ千萬別翻車……
^new_danmu66	Huh... why fight with God? Ignorant 	哎，为什么要和神对抗啊？自不量力						哎，為什麼要和神對抗啊？自不量力
^new_danmu67	What kind of evil trick is ORZ up to?	ORZ用了什么歪门邪道？						ORZ用了什麼歪門邪道？
^new_danmu68	Great time to be a bystander	大型吃瓜现场						大型吃瓜現場
^new_danmu69	Humans are ridiculous	人类可笑极了						人類可笑極了
^new_danmu70	This host is ridiculous!	主播可笑极了						主播可笑極了
^new_danmu71	I hear the voice of God!	我听到了神的声音！						我聽到了神的聲音！
^new_danmu72	？？？？？？？？？	？？？？？？？？？						？？？？？？？？？
^new_danmu73	Grant wishes???	实现愿望？？？？？？？						實現願望？？？？？？？
^new_danmu74	Those ignorant humans are even more stupid	不自量力的人类看上去更加愚蠢						不自量力的人類看上去更加愚蠢
^new_danmu75	Van! My eternal god!!!	Van！我永远的神！！！！！						Van！我永遠的神！！！！！
^new_danmu76	I'm Van's believer, he helped me	我是Van的信徒，他帮过我						我是Van的信徒，他幫過我
^new_danmu77	I can tell the host is about to crash and burn	目测主播要翻车了						目測主播要翻車了
^new_danmu78	Stop talking out your butt, it's obvious that you're just guessing	主播别再扯淡了，太假了，明显就是猜的						主播別再扯淡了，太假了，明顯就是猜的
^new_danmu79	They're planted by the host	主播找的托						主播找的托
^new_danmu80	Prove it, prove it to everyone	证明吧，证明给所有人看						證明吧，證明給所有人看
^new_danmu81	Can the Immortal Code really help people live forever?	永生代码真的可以让人永生吗？						永生代碼真的可以讓人永生嗎？
^new_danmu82	Come if you believe	信的来						信的來
^new_danmu83	Those who do not believe in the code of immortality will be punished by God!	不相信永生代码的人都要接受神罚！！！						不相信永生代碼的人都要接受神罰！！！
^new_danmu84	ORZ will be punished by God!!!	ORZ必受神罚！！！！！						ORZ必受神罰！！！！！
^new_danmu85	As an atheist, you guys are idiots	我是无神论者，我看你们就象是些傻子						我是無神論者，我看你們就像是些傻子
^new_danmu86	Is the host about to flip?	主播是不是要翻车了						主播是不是要翻車了
^new_danmu87	Today's hot search may be: ORZ live train wreck	今天的热搜可能是：ORZ直播翻车						今天的熱搜可能是：ORZ直播翻車
^new_danmu88	Come on, come on, can you do it or not	快点快点，到底行不行						快點快點，到底行不行
^new_danmu89	Bored to death, I don't even want to watch anymore	没意思，不想看了						沒意思，不想看了
^new_danmu90	What is the host doing?	主播在干嘛						主播在幹嘛
^new_danmu91	Fight with god and you'll only end up dying miserably	和神对抗最终只会死的很惨						和神對抗最終只會死的很慘
^new_danmu92	What an idiot	愚蠢的人类						愚蠢的人類
^new_danmu93	For sure Van is the almighty God	果然Van才是无所不能的神						果然Van才是無所不能的神
^new_danmu94	Does he have the ability? If not, don't over do it	主播到底行不行？别硬撑						主播到底行不行？別硬撐
^new_danmu95	Come on!	快点快点						快點快點
^new_danmu96	I'll give you one more second. If you don't reveal the answer, I won't be your fan anymore	再给你亿秒，不给答案马上脱粉						再給你億秒，不給答案馬上脫粉
^new_danmu97	Check it out, he's getting anxious	看，他急了他急了						看，他急了他急了
^new_danmu98	Support ORZ! Can you guys stop pushing?	支持ORZ ！！你们能不能别催？						支持ORZ ！！你們能不能別催？
^new_danmu99	ORZ has a lot of brainwashed fans...	ORZ的脑残粉好多……						ORZ的腦殘粉好多……
^new_danmu100	Catastrophe warning	翻车预警						翻車預警
^new_danmu101	No way, no way, ORZ is really about to mess up	不会吧不会吧，ORZ不会真的翻车了吧						不會吧不會吧，ORZ不會真的翻車了吧
^new_danmu102	Bbbbboring, are you done or not?	太久了，好了吗						太久了，好了嗎
^new_danmu103	Hurry, hurry!!!	快点快点！！！						快點快點！！！
^new_danmu104	This is making me so anxious	看得心急						看得心急
^new_danmu105	ORZ must be lying!	ORZ肯定在撒谎						ORZ肯定在撒謊
^new_danmu106	ORZ is done 	ORZ没辙了						ORZ沒轍了
^new_danmu107	Waiting for the train wreck 	坐等翻车						坐等翻車
^new_danmu108	ORZ is about to get punished by God	目测ORZ马上会被神罚						目測ORZ馬上會被神罰
^new_danmu109	What the hell is this host doing?	主播到底在干嘛？						主播到底在幹嘛？
^new_danmu110	I'm about done with you	脱粉预警						脫粉預警
^new_danmu111	Do you really think you can fight against God?	神也是你能抗衡的？						神也是你能抗衡的？
^new_danmu112	Van, my God, I'm with you	Van神，我要跟着你混						Van神，我要跟著你混
^new_danmu127	Who the hell is Van?	Van到底是谁？						Van到底是誰？
^new_danmu128	ORZ is damn great!	ORZ真的太厉害了						ORZ真的太厲害了
^new_danmu129	You've got my attention	圈粉了						圈粉了
^new_danmu130	Isn't he such a muggle?	凡胎肉身？？？						凡胎肉身？？？
^new_danmu131	What the hell happened?	到底发生了什么？						到底發生了什麼？
^new_danmu132	No matter what, I will always love ORZ	不管怎么样，我永远爱ORZ						不管怎麼樣，我永遠愛ORZ
^new_danmu133	It? Who is it?	它？它是谁？						它？它是誰？
^new_danmu134	The real God?	真正的神？						真正的神？
^new_danmu135	So, is Van a God or not?	那Van到底是不是神？						那Van到底是不是神？
^new_danmu136	God cannot be blasphemed against!	神是不可亵渎的！						神是不可褻瀆的！
^new_danmu137	ORZ is my idol!!!	ORZ是我偶像！！！！						ORZ是我偶像！！！！
^new_danmu138	This guy is so charming	主播太有魅力了						主播太有魅力了
^new_danmu139	I love Van's voice, so nice, I'm in	Van的声音好好听，圈粉了						Van的聲音好好聽，圈粉了
^new_danmu140	Van is God	Van是神						Van是神
^new_danmu141	So, whom should I believe in?	所以我要信谁？						所以我要信誰？
^new_danmu142	Van will no longer be just a myth	Van将不再是神话						Van將不再是神話
^new_danmu143	I believe in the host	我信主播						我信主播
^new_danmu144	This is awesome	太精彩了						太精彩了
^new_danmu145	How does the host know everything? Isn't this crazy?	为什么主播什么都知道？太可怕了吧？						為什麼主播什麼都知道？太可怕了吧？
^new_danmu146	Is there any privacy left in this world?	这个世界还有隐私可言吗？						這個世界還有隱私可言嗎？
^new_danmu147	Unbelievable. Can the Immortal Code really help people live forever?	可怕，永生代码真的能让人永生吗？						可怕，永生代碼真的能讓人永生嗎？
^new_danmu148	Will the divine punishment mentioned by Van really come?	Van说的神罚真的会降临吗？						Van說的神罰真的會降臨嗎？
^new_danmu149	So scared! Divine punishment won't actually come to ORZ, right?	害怕，神罚不会降临到ORZ身上吧						害怕，神罰不會降臨到ORZ身上吧
^new_danmu150	ORZ is the best!!!	ORZ最厉害！！！！！						ORZ最厲害！！！！！
^sign_platform0523601	Hi	嗨~						嗨~
^sign_platform0523602	It's been a long time since the charity party	自从上次参加完慈善晚会，很久没见了。						自從上次參加完慈善晚會，很久沒見了。
^sign_platform0523603	Do you have time? I'll DM you.	有时间吗？闲聊一会。						有時間嗎？閑聊一會。
^clue_title05123	The real host Sean is dead	真正的主播Sean已经死了						真正的主播Sean已經死了
^clue_title05124	The host we've been contacting	一直跟我们联系的主播						一直跟我們聯系的主播
^message_event05120	He was killed by his own twin brother	是被自己的孪生兄弟杀死的						是被自己的孿生兄弟殺死的
^message_event05121	It's actually a hypnotized Cody	正是被催眠的Cody						正是被催眠的Cody
^boom_new01	Insufficient clues. Need to gather more	已知的线索太少，要找到更多的线索						已知的線索太少，要找到更多的線索
^boom_new02	Act ASAP! Don't let Van's plan succeed	快点行动起来吧，不能让van的计划得逞						快點行動起來吧，不能讓van的計劃得逞
^boom_new03	Try a direct search to see if they have left any traces in the network	试试直接搜索，看看他们在网络中有没有留下痕迹						試試直接搜索，看看他們在網絡中有沒有留下痕跡
^boom_new04	Careful, don't let any clues slip past unnoticed.	仔细点，不能遗漏任何蛛丝马迹						仔細點，不能遺漏任何蛛絲馬跡
^boom_new05	These suspects will surely find a way to hide themselves, but we will eventually get them.	这些嫌疑人一定会故意隐藏自己，但我们总能抓到他们						這些嫌疑人一定會故意隱藏自己，但我們總能抓到他們
^boom_new06	Interesting, hiding beneath so many layers	有意思，藏得够深的						有意思，藏得夠深的
^boom_new07	Note the remaining time. Half the time has already passed	注意时间，现在只有一半的时间了						注意時間，現在只有一半的時間了
^boom_new08	Reports from the police say that all units have been sent searching for the bomb	警方那边反馈，他们已经派出了全部的警力去搜索炸弹						警方那邊反饋，他們已經派出了全部的警力去搜索炸彈
^boom_new09	These are the poor folks Van took advantage of. Nevertheless, finding the bomb is the most important thing now.	这些都是被Van利用的可怜人，但现在最重要的是赶快找到炸弹位置						這些都是被Van利用的可憐人，但現在最重要的是趕快找到炸彈位置
^boom_new10	I expect nothing from law enforcement anymore, so it's all up to you. Hurry!	我已经不指望警方那边能有什么结果了，所以全靠你了，快						我已經不指望警方那邊能有什麼結果了，所以全靠你了，快
^boom_new11	Hurry up, there's no time to lose. Why are you still dawdling?	快快快，时间剩的不多了，你还在磨蹭什么						快快快，時間剩的不多了，你還在磨蹭什麼
^boom_new12	This isn't all you've got. Come on, there's not much time left.	你的能力不应该只有如此吧，快啊，时间没多少了						你的能力不應該只有如此吧，快啊，時間沒多少了
^boom_new13	The clock is ticking, and we're running out of time. Is this how it's going the end?	时间进入倒数了，要来不及了，难道这就是最终的结局？						時間進入倒數了，要來不及了，難道這就是最終的結局？
^boom_new14	Hurry up, this is the last chance. I'm sure you'll make it.	抓紧时间，这是最后的机会，我相信你一定会办到的						抓緊時間，這是最後的機會，我相信你一定會辦到的
^boom_new15	Haven't found the bomb yet? My gosh, it's going to explode soon	炸弹还没有找到吗？要爆炸了，天呐						炸彈還沒有找到嗎？要爆炸了，天呐
^boom_new16	The virus has started infecting the bomb detonator	病毒开始破坏炸弹引爆装置						病毒開始破壞炸彈引爆裝置
^boom_new17	Bombing suspect found. Please investigate immediately. Additional units have been deployed.	发现炸弹嫌疑人，请立即调查，已增派警力						發現炸彈嫌疑人，請立即調查，已增派警力
^boom_new18	The exact location of the bombing suspect has been pin pointed. Please connect remotely asap. Additional units have been dispatched to the site.	找到疑似炸弹的精确位置，请立即尝试远程连接，已增派警力前往现场						找到疑似炸彈的精確位置，請立即嘗試遠程連接，已增派警力前往現場
^boom_new19	Code rewrite successful. EMP countdown started...	代码改写成功，EMP启动倒数…						代碼改寫成功，EMP啟動倒數…
^boom_new20	Stupid choice	愚蠢的选择						愚蠢的選擇
^boom_new21	Suspect's social account identified. Please investigate relevant data immediately 	发现疑似嫌疑人社交账号，请立即调查有用信息						發現疑似嫌疑人社交賬號，請立即調查有用資訊
^boom_new22	Location of the bombing suspect identified. Precise coordinates must be confirmed	发现疑似炸弹地点，需要进一步定位精确位置						發現疑似炸彈地點，需要進一步定位精確位置
^boom_new23	Name of the bombing suspect found. Please initiate investigation immediately	发现炸弹嫌疑人姓名，请立即展开调查						發現炸彈嫌疑人姓名，請立即展開調查
^boom_new24	The area of Zeman Square is too broad. Quickly narrow down the search area	兹曼广场太大，需要马上缩小搜索范围						茲曼廣場太大，需要馬上縮小搜索範圍
^boom_new25	Suspicious cloud drive address found. Please investigate relevant data immediately	发现可疑网盘地址，请立即调查有用信息						發現可疑網盤地址，請立即調查有用資訊
^boom_new26	Previously unknown location identified. Relation to the bomb uncertain. Police units have been dispatched to investigate	找到未知地点，无法得知是否与炸弹有关联，已派出警员前往调查						找到未知地點，無法得知是否與炸彈有關聯，已派出警員前往調查
^boom_new27	You can run, but you can't hide	无处遁形						無處遁形
^end_van66	Entering the background of the bomb program	正在进入炸弹程序后台						正在進入炸彈程式後臺
^end_van67	Updating bomb information	正在更新炸弹信息						正在更新炸彈資訊
^end_van68	3rd Avenue Commercial District(Bomb No.1): Exploded	第三大街商业区(炸弹编号1)：已爆炸						第三大街商業區(炸彈編號1)：已爆炸
^end_van69	1 High Hill Avenue(Bomb No.3): Defuse	高瓴大道1号  (炸弹编号3)：已拆除						高瓴大道1號  (炸彈編號3)：已拆除
^end_van70	17 Peter Street(Bomb No.4): Remaining detonation time	彼得大街17号 (炸弹编号4)：剩余起爆时间						彼得大街17號 (炸彈編號4)：剩餘起爆時間
^end_van71	99 Christmas Road(Bomb No.2): Defuse	圣诞路99号   (炸弹编号2)：已拆除						聖誕路99號   (炸彈編號2)：已拆除
^end_van72	Pperform retinal scan to stop the countdown	进行虹膜验证解除起爆装置						進行虹膜驗證解除起爆裝置
^end_van73	Error, re-enter	密钥错误，请重新输入						密鑰錯誤，請重新輸入
^end_van74	Delete server data	正在删除服务器数据						正在刪除服務器數據
^end_van75	So, you think defusing the bomb attached to Dora and Cody will end this?	你以为拆除Dora和Cody身上的炸弹就万事大吉了吗？						你以為拆除Dora和Cody身上的炸彈就萬事大吉了嗎？
^end_van76	The countdown on the backup bomb has already been initiated.	他们身上第二套起爆装置已经启动了！						他們身上第二套起爆裝置已經啟動了！
^end_van77	Only my password or the late Sean Dishman's retinal scan can deactivate it this time. 	只有我的密钥，和死去的Sean Dishman的虹膜才能解除指令！						只有我的密鑰，和死去的Sean Dishman的虹膜才能解除指令！
^end_van78	Though, he's dead now isn't he? So, I'm the only one on this pale blue dot who can save them.	然而Sean已经死了，所以这个世界上能救他们的只有我！						然而Sean已經死了，所以這個世界上能救他們的只有我！
^end_van79	If I die, hahaha... Then, boom! And all that'll be left of Cody will be a bloody pulp! 	如果我也死了，嘿嘿嘿嘿……Cody将“砰”！一声成为一滩肉酱！						如果我也死了，嘿嘿嘿嘿……Cody將“砰”！一聲成為一灘肉醬！
^end_van80	You won't dare kill me now, am I wrong?	你不敢杀我，对吧？						你不敢殺我，對吧？
^end_van81	I won't believe you anymore	我不会再相信你了						我不會再相信你了
^end_van82	You have to pay for their death！	你要为他们的死负责！						你要為他們的死負責！
^vd0543	Fantastic work we've succeeded!	你干的很好！我们成功了！						你幹的很好！我們成功了！
^vd0544	So sorry about Dora and Cody. 	关于Dora和Cody，我很抱歉						關於Dora和Cody，我很抱歉
^vd0545	Sorry, why? But you did great, they've been rescued. 	抱歉？为什么要道歉，你做的很出色，Dora和Cody已经被安全的解救了						抱歉？為什麼要道歉，你做的很出色，Dora和Cody已經被安全的解救了
^vd0546	Rescued? 	安全了？						安全了？
^vd0547	Yup, the police tracked them down after we provided their location. 	是的，警方通过我们提供的地点找到了他们两个						是的，警方通過我們提供的地點找到了他們兩個
^vd0548	The bomb squad found the bomb attached to them needs a retinal scan to be diffused. 	拆弹小组帮他们拆除炸弹的时候发现了一套需要进行虹膜验证的起爆装置						拆彈小組幫他們拆除炸彈的時候發現了一套需要進行虹膜驗證的起爆裝置
^vd0549	Surprisingly, Cody's retina matched the scan! And just like that they're saved!	没想到Cody居然通过了虹膜验证！他们就这样被成功解救了！						沒想到Cody居然通過了虹膜驗證！他們就這樣被成功解救了！
^vd0550	How can Cody's iris disarm the bomb? (Could it be...)	Cody的虹膜怎么可能解除炸弹？（难道……）						Cody的虹膜怎麼可能解除炸彈？（難道……）
^vd0536	Even better, all the trouble that Van created has been dealt with. So, it looks like we're trouble free for now.	值得庆祝的是，Van的事情终于解决，这次应该不会再有什么意外状况了。						值得慶祝的是，Van的事情終於解決，這次應該不會再有什麼意外狀況了。
^end_van83	17 Peter Street(Bomb No.4): Exploded	彼得大街17号 (炸弹编号4)：已爆炸						彼得大街17號 (炸彈編號4)：已爆炸
^tips0502	Currently collecting entries: {0:S}	目前收集词条:{0:S}						目前收集詞條:{0:S}
^sign_platform05318	Hello everyone, I'm a student of Alpha University who recently started following the Immortal Code.	大家好，我是阿尔法大学的学生，最近信奉了永生代码						大家好，我是阿爾法大學的學生，最近信奉了永生代碼
^sign_platform05319	I'm here because I watched ORZ's live stream.	我是看主播ORZ的直播来的						我是看主播ORZ的直播來的
^sign_platform05320	Me too！	我也是！						我也是！
^sign_platform05321	This is a family of love, hope, and eternal life. Truly, those who adhere to the Immortal Code will achieve lasting happiness!	这里是爱，希望与永生的大家庭，信奉永生代码者将获得真正的幸福！						這裏是愛，希望與永生的大家庭，信奉永生代碼者將獲得真正的幸福！
^sign_platform05322	Working for God makes me happy	为神做事使我快乐						為神做事使我快樂
^sign_platform05323	God has granted my wish!!!	神实现了我的愿望！！！						神實現了我的願望！！！
^sign_platform05324	Can I really live forever?	真的可以永生？						真的可以永生？
^sign_platform05325	Of course! Provided you are devout enough!	当然！前提是你足够虔诚！						當然！前提是你足夠虔誠！
^sign_platform05326	God will grant all our prayers!!!	神能满足我们所有的愿望！！						神能滿足我們所有的願望！！
^sign_platform05327	Long live Van!!!	Van神永在！！！！！						Van神永在！！！！！
^sign_platform05328	Long live Van!!!	Van神永在！！！！！						Van神永在！！！！！
^sign_platform05329	Long live Van!!!	Van神永在！！！！！						Van神永在！！！！！
^sign_platform05330	Long live Van!!!	Van神永在！！！！！						Van神永在！！！！！
^sign_platform05331	Long live Van!!!	Van神永在！！！！！						Van神永在！！！！！
^sign_platform05332	Everyone is clear on their duties, right?	每个人的分工都清楚了吧？						每個人的分工都清楚了吧？
^sign_platform05333	Yes!	是的。						是的。
^sign_platform05334	Clear!	清楚！						清楚！
^sign_platform05335	Clear!	清楚						清楚
^sign_platform05336	Clear!	知道了						知道了
^sign_platform05337	Clear!	明白						明白
^sign_platform05338	Clear!	知道了。						知道了。
^sign_platform05339	Clear!	清楚						清楚
^sign_platform05340	Good, get started. May God bless you with love, hope, and eternal life!	很好，继续行动吧，神会保佑你们，得到爱，希望与永生！						很好，繼續行動吧，神會保佑你們，得到愛，希望與永生！
^name_ht0523	Morrison 	Morrison 						Morrison 
^name_ht0524	Anita	Anita						Anita
^name_ht0525	Polly	Polly						Polly
^name_ht0526	Craigie	Craigie						Craigie
^name_ht0527	Cronwell 	Cronwell 						Cronwell 
^name_ht0528	Judson	Judson						Judson
^name_ht0529	Titus	Titus						Titus
^name_ht0530	Meg	Meg						Meg
^name_ht0531	Eve	Eve						Eve
^name_ht0532	Clapham	Clapham						Clapham
^name_ht0533	Reynolds 	Reynolds 						Reynolds 
^name_ht0534	Lee	Lee						Lee
^name_ht0535	Zimmerman	Zimmerman						Zimmerman
^name_ht0536	Jim	Jim						Jim
^name_ht0537	DR	DR						DR
^name_ht0538	Maltz	Maltz						Maltz
^name_ht0539	Patrick	Patrick						Patrick
^desk_name01071	While True believers	群聊—永生代码信徒						群聊—永生代碼信徒
^content_platform0575	[The 1,579th day of her disappearance] I went to see a psychiatrist. The doctor said that my psychological trauma and social isolation caused my stutter. If I can't manage to let it go, my stuttering may get worse...	【她失踪的第1579天】我去看了心理医生。医生说我因心理创伤，长时间不愿与外界交流，才出现了这种口吃症状，如果我还无法从阴影中走出来，口吃可能会越来越严重……						【她失蹤的第1579天】我去看了心理醫生。醫生說我因心理創傷，長時間不願與外界交流，才出現了這種口吃症狀，如果我還無法從陰影中走出來，口吃可能會越來越嚴重……
^invade_phone0501	Messages from Sean	来自Sean的信息						來自Sean的資訊
^invade_phone0502	Sean: I've done exactly what you guys said!	Sean：我已经完全按照你们所说的去做了！						Sean：我已經完全按照你們所說的去做了！
^invade_phone0503	Sean: They all believe in the Immortal Code now, so just let me go!	Sean：他们都信奉了永生代码，你们放过我吧！						Sean：他們都信奉了永生代碼，你們放過我吧！
^invade_phone0504	Paul: God already knows all of your doings.	Paul：你所做的，神都已经知晓了。						Paul：你所做的，神都已經知曉了。
^invade_phone0505	Paul: So, don't resist.	Paul：不要试图反抗。						Paul：不要試圖反抗。
^invade_phone0506	Paul: Your sins run far too deep.	Paul：你的罪恶深重。						Paul：你的罪惡深重。
^invade_phone0507	Sean: Enough tricks! The truth is you hacked into my computer camera!	Sean：别再故弄玄虚了！其实是你们入侵了我的计算机摄像头吧！						Sean：別再故弄玄虛了！其實是你們入侵了我的計算機攝像頭吧！
^wrong_answer0501	This answer does not seem right!	这个答案似乎不太对！						這個答案似乎不太對！
^wrong_answer0502	We have to be cautious and look for other answers.	我们要谨慎一些，找找有没有其他答案。						我們要謹慎一些，找找有沒有其他答案。
^zhadan_over01	Detonation signal intercepted	引爆信号已切断						引爆信號已切斷
^clue_title05125	Sean works for Van as liver streamer	Sean与Van有联系						Sean與Van有聯系
^message_event05122	Spreading god's words	Sean以主播身份帮助Van进行传教						Sean以主播身份幫助Van進行傳教
^tuilinew01	Information in Sean’s email	Sean邮件中的信息						Sean郵件中的資訊
^tuilinew02	Sean works for Van as liver streamer	Sean以主播身份帮助Van进行传教						Sean以主播身份幫助Van進行傳教
^diarycode	Diary encrypted	日记已加密						日記已加密
^ganxieyouwan	Thank you so much for playing Cyber Manhunt!	感谢游玩全网公敌						感謝遊玩全網公敵
^vd0551	Our server is under siege from multiple locations. Its capacity to defend against cyber attack is plummeting by the minute!	我们的服务器正在遭受来自多个地点的攻击，目前的抵御攻击的能力正在直线下降！						我們的服務器正在遭受來自多個地點的攻擊，目前的抵禦攻擊的能力正在直線下降！
^vd0552	The sources of attack need to be traced and triangulated immediately to locate Van's physical server!	需要立刻追踪这些攻击源并对其扫描，从中找出Van真正的服务器！						需要立刻追蹤這些攻擊源並對其掃描，從中找出Van真正的服務器！
^vd0553	I have called for certain departments to cut off the connection of the network nodes around Van as soon as we pin them down. That way we can trap it in the server.	我已经通知相关部门，届时会切断Van周围的网络连接基站，将它困在服务器中						我已經通知相關部門，屆時會切斷Van周圍的網絡連接基站，將它困在服務器中
^vd0554	While they're doing that, you’ll need to hack into Van's system and destroy it once and for all!	而你需要利用这段时间，入侵Van的系统，将其彻底击败！						而你需要利用這段時間，入侵Van的系統，將其徹底擊敗！
^vd0555	Hurry up! If the carrying capacity of the server drops to 0, all data will suffer irreversible damage and you will be erased permanently.	抓紧时间，当服务器承载能力降为0时所有数据将会遭受不可逆的损坏，你也会彻底消失。						抓緊時間，當服務器承載能力降為0時所有數據將會遭受不可逆的損壞，你也會徹底消失。
^vd0556	(Long press the red attack source. Release the mouse at the right time to complete the scan and distinguish Van's actual server among all the attack sources.)	（长按红色的攻击源，选择合适的时机松开鼠标完成扫描，在所有攻击源中找到Van的服务器）						（長按紅色的攻擊源，選擇合適的時機松開鼠標完成掃描，在所有攻擊源中找到Van的服務器）
^vd0557	We did it! We've tracked down Van's server!	成功了！我们找到了Van所在的服务器！						成功了！我們找到了Van所在的服務器！
^vd0558	The surrounding network base stations have been shut down. Van is now completely cornered!	周边网络基站已经关闭，Van被彻底困住了！						周邊網絡基站已經關閉，Van被徹底困住了！
^vd0559	Hack into Van's server while you can and inject a single line of code "rm -rf/*" to wipe it from the face of the planet.	趁现在赶快入侵Van的服务器，注入一行代码rm –rf/*就能把它从世界上抹除。						趁現在趕快入侵Van的服務器，注入一行代碼rm –rf/*就能把它從世界上抹除。
^vd0560	Hurry up!	快！						快！
^vd0561	(Click on Van's server on the map)	（点击地图上Van的服务器）						（點擊地圖上Van的服務器）
^vd0562	[Bomb System]	[Bomb System]						[Bomb System]
^vd0565	Authentication failed. Does not match Sean Dishman's retinal scan.	验证失败，与Sean Dishman虹膜信息不匹配						驗證失敗，與Sean Dishman虹膜資訊不匹配
^vd0566	Enter the password to stop the countdown	输入秘钥解除起爆装置						輸入秘鑰解除起爆裝置
^sign_platform05341	DR, you are God's messenger and the closest one to God. I pray that you can help me meet God.	DR，你是神的使者，离神最近的人。希望你能帮助我，和神见上一面。						DR，你是神的使者，離神最近的人。希望你能幫助我，和神見上一面。
^sign_platform05342	It’s god, so how can there be a physical body? Silly boy.	它是神，又怎么会有真身呢，傻孩子。						它是神，又怎麼會有真身呢，傻孩子。
^sign_platform05343	God is omnipresent, he doesn't need a physical body to play host to his majesty.	神是无所不在的，他根本不需要肉体寄存灵魂。						神是無所不在的，他根本不需要肉體寄存靈魂。
^sign_platform05344	So... there’s no way to see or feel God, yet he knows everything about us?	所以……神真的看不见也摸不到，却知道我们的一切？						所以……神真的看不見也摸不到，卻知道我們的一切？
^sign_platform05345	Yes, join the Immortal Code to attain an immortal soul. All of us will remain immortal in this world forever in digital form.	是的，加入永生代码，你也将获得不朽的灵魂，我们每个人都将以电子生命的形式，永远留存在这个世界上。						是的，加入永生代碼，你也將獲得不朽的靈魂，我們每個人都將以電子生命的形式，永遠留存在這個世界上。
^sign_platform05346	God is an AI?	神其实是AI？						神其實是AI？
^sign_platform05347	God is God, and absolutely indestructible. If you believe in him, you will become invulnerable, but if you disobey, you will surely be punished.	神就是神，绝对不可亵渎，如果你信奉他，你将无坚不摧，如果你违背他，必然会得到神罚。						神就是神，絕對不可褻瀆，如果你信奉他，你將無堅不摧，如果你違背他，必然會得到神罰。
^dialogue0579	Did anything stand out about the corpse?	尸体有什么让你特别注意的地方？						屍體有什麼讓你特別注意的地方？
^dialogue0580	I remember very clearly that the wound was on the back of his head. There was a lot of blood.	我记得很清楚，他的伤口在后脑勺，流了很多血。						我記得很清楚，他的傷口在後腦勺，流了很多血。
^dialogue0581	Oh, one more notable thing. All of the buttons on his shirt were buttoned wrongly.	对了，还有一点很奇怪，他的衬衣扣子，全部都扣错了。						對了，還有一點很奇怪，他的襯衣扣子，全部都扣錯了。
^sign_platform05348	Any recent progress?	最近有什么进展吗？						最近有什麼進展嗎？
^sign_platform05349	Nothing out of the ordinary.	还是没有。						還是沒有。
